especie,wolbachia,tratamento,data,R1,R2,R3,R4,R5
baimai,P,V,10/11/2022,0,0,0,0,0
baimai,P,C,10/11/2022,7,9,11,14,12
baimai,N,V,10/11/2022,0,0,0,0,0
baimai,N,C,10/11/2022,9,12,11,12,10
triauraria,P,V,10/11/2022,1,1,1,0,3
triauraria,P,C,10/11/2022,4,5,5,4,7
triauraria,N,V,10/11/2022,0,0,0,0,0
triauraria,N,C,10/11/2022,6,7,4,6,3
bocquete,P,V,11/11/2022,9,8,10,8,9
bocquete,P,C,11/11/2022,4,3,6,2,3
bocquete,N,V,11/11/2022,4,7,8,7,8
bocquete,N,C,11/11/2022,5,7,8,5,5
melanogaster,P,V,11/11/2022,2,1,0,1,0
melanogaster,P,C,11/11/2022,8,11,13,9,12
melanogaster,N,V,11/11/2022,0,0,1,0,0
melanogaster,N,C,11/11/2022,1,1,0,5,1
baimai,P,V,11/11/2022,0,0,0,0,0
baimai,P,C,11/11/2022,7,9,11,13,12
baimai,N,V,11/11/2022,0,0,0,0,0
baimai,N,C,11/11/2022,8,11,10,12,8
triauraria,P,V,11/11/2022,0,1,0,0,0
triauraria,P,C,11/11/2022,4,5,5,4,7
triauraria,N,V,11/11/2022,0,0,0,0,0
triauraria,N,C,11/11/2022,6,6,4,4,3
bocquete,P,V,12/11/2022,9,8,10,8,9
bocquete,P,C,12/11/2022,4,3,6,2,3
bocquete,N,V,12/11/2022,4,7,8,7,8
bocquete,N,C,12/11/2022,5,7,8,5,5
melanogaster,P,V,12/11/2022,2,1,0,1,0
melanogaster,P,C,12/11/2022,8,11,13,9,12
melanogaster,N,V,12/11/2022,0,0,1,0,0
melanogaster,N,C,12/11/2022,1,1,0,5,1
baimai,P,V,12/11/2022,0,0,0,0,0
baimai,P,C,12/11/2022,7,9,11,12,12
baimai,N,V,12/11/2022,0,0,0,0,0
baimai,N,C,12/11/2022,8,11,10,12,8
triauraria,P,V,12/11/2022,0,1,0,0,0
triauraria,P,C,12/11/2022,4,5,5,4,6
triauraria,N,V,12/11/2022,0,0,0,0,0
triauraria,N,C,12/11/2022,6,6,4,4,3
bocquete,P,V,13/11/2022,9,8,10,8,9
bocquete,P,C,13/11/2022,4,3,6,2,3
bocquete,N,V,13/11/2022,4,7,8,7,8
bocquete,N,C,13/11/2022,5,7,8,5,5
melanogaster,P,V,13/11/2022,2,1,0,1,0
melanogaster,P,C,13/11/2022,8,11,13,9,12
melanogaster,N,V,13/11/2022,0,0,1,0,0
melanogaster,N,C,13/11/2022,1,1,0,5,1
baimai,P,V,13/11/2022,0,0,0,0,0
baimai,P,C,13/11/2022,7,9,11,12,12
baimai,N,V,13/11/2022,0,0,0,0,0
baimai,N,C,13/11/2022,8,11,10,12,8
triauraria,P,V,13/11/2022,0,1,0,0,0
triauraria,P,C,13/11/2022,4,5,5,4,6
triauraria,N,V,13/11/2022,0,0,0,0,0
triauraria,N,C,13/11/2022,6,6,4,4,3
