"","especie","wolbachia","tratamento","data","replica","sobreviventes","DPI","catg"
"122","bocqueti","W+","FHV",2022-10-21,"R2",13,3,"bocquetiW+FHVR2"
"123","bocqueti","W+","FHV",2022-10-21,"R3",13,3,"bocquetiW+FHVR3"
"124","bocqueti","W+","FHV",2022-10-21,"R4",12,3,"bocquetiW+FHVR4"
"125","bocqueti","W+","FHV",2022-10-21,"R5",12,3,"bocquetiW+FHVR5"
"126","bocqueti","W+","Ringer",2022-10-21,"R1",12,3,"bocquetiW+RingerR1"
"127","bocqueti","W+","Ringer",2022-10-21,"R2",13,3,"bocquetiW+RingerR2"
"128","bocqueti","W+","Ringer",2022-10-21,"R3",12,3,"bocquetiW+RingerR3"
"129","bocqueti","W+","Ringer",2022-10-21,"R4",11,3,"bocquetiW+RingerR4"
"130","bocqueti","W+","Ringer",2022-10-21,"R5",13,3,"bocquetiW+RingerR5"
"131","bocqueti","W-","FHV",2022-10-21,"R1",8,3,"bocquetiW-FHVR1"
"132","bocqueti","W-","FHV",2022-10-21,"R2",11,3,"bocquetiW-FHVR2"
"133","bocqueti","W-","FHV",2022-10-21,"R3",11,3,"bocquetiW-FHVR3"
"134","bocqueti","W-","FHV",2022-10-21,"R4",12,3,"bocquetiW-FHVR4"
"135","bocqueti","W-","FHV",2022-10-21,"R5",13,3,"bocquetiW-FHVR5"
"136","bocqueti","W-","Ringer",2022-10-21,"R1",14,3,"bocquetiW-RingerR1"
"137","bocqueti","W-","Ringer",2022-10-21,"R2",15,3,"bocquetiW-RingerR2"
"138","bocqueti","W-","Ringer",2022-10-21,"R3",13,3,"bocquetiW-RingerR3"
"139","bocqueti","W-","Ringer",2022-10-21,"R4",10,3,"bocquetiW-RingerR4"
"140","bocqueti","W-","Ringer",2022-10-21,"R5",8,3,"bocquetiW-RingerR5"
"141","melanogaster","W+","FHV",2022-10-21,"R1",14,3,"melanogasterW+FHVR1"
"142","melanogaster","W+","FHV",2022-10-21,"R2",15,3,"melanogasterW+FHVR2"
"143","melanogaster","W+","FHV",2022-10-21,"R3",13,3,"melanogasterW+FHVR3"
"144","melanogaster","W+","FHV",2022-10-21,"R4",13,3,"melanogasterW+FHVR4"
"145","melanogaster","W+","FHV",2022-10-21,"R5",14,3,"melanogasterW+FHVR5"
"146","melanogaster","W+","Ringer",2022-10-21,"R1",15,3,"melanogasterW+RingerR1"
"147","melanogaster","W+","Ringer",2022-10-21,"R2",13,3,"melanogasterW+RingerR2"
"148","melanogaster","W+","Ringer",2022-10-21,"R3",15,3,"melanogasterW+RingerR3"
"149","melanogaster","W+","Ringer",2022-10-21,"R4",15,3,"melanogasterW+RingerR4"
"150","melanogaster","W+","Ringer",2022-10-21,"R5",14,3,"melanogasterW+RingerR5"
